TS_Pcode,Township,Township_Mya_MM3,D_Pcode,District,District_Mya_MM3,SR_Pcode,State_Region,State_Region_Mya_MM3,MYAINFO_TS_ID,Source,Remark
MMR017024,Bogale,ဘိုကလေး,MMR017D006,Pyapon,ဖျာပုံခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017024,"GAD, Mar 2015",
MMR017022,Danubyu,ဓနုဖြူ,MMR017D005,Maubin,မအူပင်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017022,"GAD, Mar 2015",
MMR017026,Dedaye,ဒေးဒရဲ,MMR017D006,Pyapon,ဖျာပုံခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017026,"GAD, Mar 2015",
MMR017015,Einme,အိမ္မဲ,MMR017D003,Myaungmya,မြောင်းမြခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017015,"GAD, Mar 2015",
MMR017008,Hinthada,ဟင်္သာတ,MMR017D002,Hinthada,ဟင်္သာတခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017008,"GAD, Mar 2015",
MMR017013,Ingapu,အင်္ဂပူ,MMR017D002,Hinthada,ဟင်္သာတခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017013,"GAD, Mar 2015",
MMR017002,Kangyidaunt,ကန်ကြီးထောင့်,MMR017D001,Pathein,ပုသိမ်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017002,"GAD, Mar 2015",
MMR017025,Kyaiklat,ကျိုက်လတ်,MMR017D006,Pyapon,ဖျာပုံခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017025,"GAD, Mar 2015",
MMR017012,Kyangin,ကြံခင်း,MMR017D002,Hinthada,ဟင်္သာတခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017012,"GAD, Mar 2015",
MMR017007,Kyaunggon,ကျောင်းကုန်း,MMR017D001,Pathein,ပုသိမ်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017007,"GAD, Mar 2015",
MMR017005,Kyonpyaw,ကျုံပျော်,MMR017D001,Pathein,ပုသိမ်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017005,"GAD, Mar 2015",
MMR017016,Labutta,လပွတ္တာ,MMR017D004,Labutta,လပွတ္တာခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017016,"GAD, Mar 2015",
MMR017010,Lemyethna,လေးမျက်နှာ,MMR017D002,Hinthada,ဟင်္သာတခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017010,"GAD, Mar 2015",
MMR017019,Maubin,မအူပင်,MMR017D005,Maubin,မအူပင်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017019,"GAD, Mar 2015",
MMR017018,Mawlamyinegyun,မော်လမြိုင်ကျွန်း,MMR017D004,Labutta,လပွတ္တာခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017018,"GAD, Mar 2015",
MMR017011,Myanaung,မြန်အောင်,MMR017D002,Hinthada,ဟင်္သာတခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017011,"GAD, Mar 2015",
MMR017014,Myaungmya,မြောင်းမြ,MMR017D003,Myaungmya,မြောင်းမြခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017014,"GAD, Mar 2015",
MMR017004,Ngapudaw,ငပုတော,MMR017D001,Pathein,ပုသိမ်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017004,"GAD, Mar 2015",
MMR017021,Nyaungdon,ညောင်တုန်း,MMR017D005,Maubin,မအူပင်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017021,"GAD, Mar 2015",
MMR017020,Pantanaw,ပန်းတနော်,MMR017D005,Maubin,မအူပင်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017020,"GAD, Mar 2015",
MMR017001,Pathein,ပုသိမ်,MMR017D001,Pathein,ပုသိမ်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017001,"GAD, Mar 2015",
MMR017023,Pyapon,ဖျာပုံ,MMR017D006,Pyapon,ဖျာပုံခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017023,"GAD, Mar 2015",
MMR017003,Thabaung,သာပေါင်း,MMR017D001,Pathein,ပုသိမ်ခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017003,"GAD, Mar 2015",
MMR017017,Wakema,ဝါးခယ်မ,MMR017D003,Myaungmya,မြောင်းမြခရိုင်,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ASIMMR017017,"GAD, Mar 2015",
